"matchup","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Rockets - Thunder",1515.32814961079,1492.58518666745,1534.30520656566,1569.42182239083,1490.69252128226,1535.73204349673,1442.38098622242,1443.03648768573,1472.23884840202,1492.06974833812,1514.8135727808,1537.31122088345,1525.34622445736,1500.66648332388,1523.86362298851,1511.58530584964,1587.90867562145,1646.4842099179,1635.37187069544,1635.72927210356,1623.48916678246,1593.21742453773,1525.06564296296,1486.83909136529,1527.75220060976,1513.19814529717,1505.56481646341,1529.03836971545,1573.78147117917,1485.98504817073,1517.62341966292,1477.86642154933,1466.62996885751,1547.98604413803,1557.72636345775,1601.92903044397,1626.38198172654,1644.33989812106,1602.08012140305
"Rockets - Mavericks",NA,NA,NA,NA,1365.97956274568,1426.29425977044,1394.34853170732,1438.17294301432,1511.01058969527,1541.97389192242,1569.48759702983,1571.71518150693,1504.36130913216,1485.52603980164,1491.34982317073,1408.44259268293,1372.82827699792,1425.33891900116,1499.12365986163,1496.10015678862,1467.64149402688,1425.18333100645,1444.93539196296,1458.31071463415,1561.61222861877,1538.19587150407,1594.90578494739,1591.10368965517,1599.00024004731,1594.80190689895,1636.62675886747,1611.29666411311,1593.73906203089,1582.61508788803,1573.86413622425,1561.16381733766,1526.488466699,1587.66641712206,1610.73083932428
"Rockets - Pelicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1394.93821401021,1384.6000107629,1452.50643597561,1441.82676890244,1513.20893946107,1560.36759887921,1575.07593581172,1548.14239886179,1566.87410855342,1551.56262962612,1514.40717696296,1510.86027603517,1553.91883459703,1494.48762839051,1521.21566107262,1539.93177958801,1471.35877168402,1478.18026158537,1514.82157393121,1599.49344981867,1604.3661707078,1517.54242926829,1521.26027810421,1474.53870227273,1491.71947340632,1528.20005983925,1561.4013755579
"Rockets - Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369.16886340045,1384.42511990925,1439.31601768293,1452.83146561693,1501.89483370524,1581.6885507225,1530.38799827627,1538.84290784314,1606.36398339002,1582.97770229885,1560.82050478114,1523.35067334305,1555.52420299857,1456.13129207317,1459.72022439024,1509.34083403509,1600.5827663848,1563.92111356562,1548.4761219885,1475.36481911031,1533.26821138971,1544.99717293244,1584.64247020483,1602.13043248212,1630.60184011364,1638.74906749109,1556.53911042745
"Rockets - Timberwolves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.684420519,1462.27881036585,1407.76966829268,1429.74951297353,1475.39592570848,1445.89722754456,1475.14633849593,1509.73654620048,1508.21321206897,1513.07828796296,1489.95441789563,1545.16739678106,1525.2889775825,1530.49882527716,1599.62637066667,1562.41555765963,1504.36615182927,1512.62499893121,1467.40069472007,1492.85967495507,1434.05141036585,1414.61373292683,1478.52523409091,1496.75240938193,1577.16683910754,1495.7496707933
"Rockets - Magic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1398.44045893364,1446.41264146341,1420.93493597561,1512.4243690711,1594.6147262465,1618.48036463312,1608.67542868794,1563.35696653179,1507.76261027474,1539.10436018519,1485.86965304878,1526.31583399036,1492.03006096143,1498.64523365306,1470.51371239837,1494.42926009866,1462.04608414634,1536.9005975699,1588.10637541996,1632.68697161867,1613.00957964939,1579.14033889967,1544.44547964149,1459.08132096729,1472.02186410754,1481.43441774452
"Rockets - Grizzlies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416.47984337398,1413.13436170981,1408.60566393328,1393.14219296296,1390.25030365854,1458.74887012195,1401.3243804878,1443.06142926829,1552.6789120155,1564.1241342762,1536.39160394214,1499.25228002878,1487.28997154933,1474.25791580873,1516.19558231707,1521.81315930038,1556.60308337484,1590.01149712395,1592.21716768386,1621.60957323232
"Rockets - Raptors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448.89221105691,1478.89402085615,1432.97006332352,1455.99755096296,1478.65052916786,1534.64515339907,1489.88379472246,1448.96006158537,1484.69896544715,1498.25925095232,1460.09496707317,1529.59842193565,1571.33454744645,1536.73019751605,1520.43119268293,1446.86780487805,1448.08685681818,1495.96994352827,1580.76074858274,1597.59054532535
"Rockets - Hornets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423.09651314744,1433.64964817073,1490.70194954097,1511.22330508592,1532.50156275995,1539.94121169881,1484.80784756098,1408.58243484848,1408.84695816242,1523.60886804968,1539.07173847623
"Hawks - Celtics",1443.45825937416,1467.0020860482,1475.17662952292,1591.54921534672,1573.86262234541,1577.74564385765,1580.90444912095,1564.42494743842,1578.603362722,1624.83105703846,1667.20170864469,1624.76371678487,1564.18829810683,1529.92227386459,1567.38453451984,1521.73305135207,1507.48062103283,1523.28002536716,1478.9528849316,1472.42235886797,1475.69178899788,1493.93171541407,1509.47544669492,1455.00145243902,1402.59736097561,1458.33968914883,1473.12555894751,1429.6777122802,1401.26306560702,1390.35405,1389.9690695122,1540.36914224927,1612.52330858535,1603.07938817204,1598.67691010638,1556.8738869509,1527.28708517503,1451.21271544259,1515.08151652824
"Hawks - Pacers",1430.07922073171,1461.48981775552,1490.53732464487,1530.00087230866,1498.51969353949,1482.56077762776,1439.12577891679,1426.38398139893,1426.03537195122,1462.8397054409,1556.12352056606,1555.37273697457,1505.18159143538,1499.22829994978,1498.31012586207,1497.20734920373,1495.51610300958,1580.17085551898,1568.06333391563,1558.96336538606,1574.14463351007,1607.7926679402,1606.05631280603,1538.4678781417,1438.25894004538,1441.74795882394,1487.9587033398,1506.8332650448,1425.31916677792,1418.14952343404,1427.16490060976,1436.81624775966,1493.33773591004,1506.68211317204,1509.25674516385,1544.9154458153,1552.42078577273,1547.78581563578,1542.40703205575
"Hawks - Clippers",1410.75293719512,1443.42795312137,1487.83736854731,1526.02780218671,1455.45752743902,1428.95000384727,1429.39410452654,1441.44039176479,1441.99765609756,1453.9417456848,1472.01743138569,1440.99137843799,1432.52075058172,1446.86916585366,1453.96087123633,1482.00316307121,1497.59535997295,1507.97513146473,1417.67548338594,1454.6127210631,1516.12618904092,1460.30310626773,1430.78793769492,1364.58235060976,1355.80327195122,1442.99284634146,1424.97061219512,1415.54006463415,1382.18833231707,1421.89386994032,1451.40027865854,1428.54501849137,1425.76127432468,1475.88698756229,1461.59220400882,1538.48238477633,1577.48928409091,1565.29689068007,1631.94714352679
"Hawks - Bucks",1393.60102195122,1483.51594784799,1518.51251123023,1571.19526234018,1562.34043399562,1559.12881385281,1557.20186436975,1532.25645342482,1556.52641906504,1595.07401310096,1619.10701073182,1584.24505050135,1582.14492771252,1514.16395536018,1528.30838878296,1478.92437256098,1444.66931370158,1473.10708024521,1446.63901814204,1453.44767777041,1519.01413777837,1523.41417090187,1542.71349320435,1483.64638631904,1461.15950497561,1469.44241036585,1452.59326924889,1457.48546603588,1373.73370731707,1376.60071668769,1411.86934817073,1402.83344471088,1472.4854767637,1541.83667075631,1512.7118723015,1516.33192979798,1504.13335895877,1401.20603129625,1530.24850503247
"Hawks - Lakers",1467.0197854642,1514.66464202381,1557.95299656899,1602.73228434201,1555.8664630703,1546.30298653274,1580.57642129169,1538.22362340699,1566.43589375151,1610.86073133013,1659.20281576374,1646.00099592533,1617.22489179998,1590.68237733181,1587.51971905087,1508.87775011344,1471.75525594997,1508.40553756229,1517.11046226982,1549.86536414307,1608.04628582179,1622.75804782742,1602.36291893629,1564.18381957027,1494.8840849552,1540.51030185342,1513.11594721069,1516.08908710131,1414.75637560976,1414.05674744451,1461.41189592795,1535.49638657685,1621.08339044547,1635.15754150538,1594.86497586725,1565.96258568376,1530.72005663319,1448.21377093039,1490.27812290941
"Hawks - Knicks",1436.18946341463,1495.23249191017,1497.99705635218,1519.24197657696,1504.88325961092,1482.76273250581,1504.01780260027,1538.06664782343,1453.15611402439,1449.35071336773,1502.11741004422,1522.97601013112,1583.37818375647,1526.01126741782,1498.68475995943,1520.30519977945,1555.93441140085,1627.40620172344,1568.1104283112,1547.67973339372,1599.64447336957,1583.42647531598,1570.50275955206,1515.46618776755,1449.04945723998,1410.77719268293,1432.69416768293,1430.95248379183,1366.46806402439,1336.40342317073,1400.36720487805,1398.89165324747,1462.20487737346,1494.68646987936,1509.25527812964,1521.46856752739,1558.63723498549,1477.17624958893,1481.12993266551
"Hawks - Bulls",1422.44963373745,1507.61262446283,1472.62491610828,1500.69918877208,1488.80283036308,1482.09341604239,1462.17277830703,1449.01429969162,1459.47031608054,1470.72228624434,1558.20028744021,1587.9319179926,1575.14714561129,1551.78915708064,1600.41525121909,1619.43296541979,1576.78158902155,1608.64026534596,1551.04949868286,1634.72900928261,1698.81207338571,1651.19159626891,1544.06457969492,1379.52199878049,1309.61433719512,1340.31214085366,1393.48568536585,1378.60736219512,1383.1756261918,1405.00796547949,1481.25379882025,1460.00659288161,1498.09489757762,1535.32145771227,1576.32621724924,1604.47065277778,1538.20381530464,1504.24806910112,1588.93846603343
"Hawks - Cavaliers",1460.81646609039,1489.95533392857,1493.73004842536,1516.77454669891,1455.73538719512,1399.46004835947,1399.39042403874,1436.06429969162,1442.84198177822,1502.04167861163,1523.1835673613,1555.01424590364,1618.56577183908,1503.32160719793,1482.09447001682,1533.94757541882,1552.36550552683,1590.55675346616,1533.06340528044,1521.56424522379,1574.66239753446,1572.59487732558,1554.93936569492,1442.17025792683,1386.20370853659,1387.93254146341,1370.91454207317,1392.49382012195,1398.57422865854,1421.72394615533,1478.61803659732,1484.39309331165,1603.47596014785,1650.70737580645,1457.84020766736,1452.48003207071,1438.75143855322,1433.59977519868,1587.2879710084
"Hawks - Nets",1402.86306219512,1402.62399763357,1484.4499415293,1511.83378877208,1427.17964085366,1469.85398154762,1538.35478460784,1514.46292054134,1496.74517631994,1514.56744977376,1520.38098687349,1478.27923148677,1480.76541948416,1407.55714573171,1424.65935538267,1451.35911464833,1493.18628870859,1561.61437247437,1491.33729619082,1462.13261923383,1483.76814265642,1546.15642680575,1509.78465069492,1451.80220914634,1374.27592865854,1459.08152716404,1509.51169506217,1489.26465246525,1380.35481612309,1423.4704985379,1439.56333361443,1436.11309532064,1482.36954322712,1446.20910707448,1441.98653693565,1440.77633737374,1513.91350494127,1492.06704250538,1537.94561696429
"Hawks - Warriors",1467.70544919141,1499.99546165796,1524.64834476682,1506.23316377208,1473.06946890244,1494.47825140825,1475.93851916069,1457.50947469162,1415.43648353659,1458.30503653846,1549.05103191591,1493.28133453555,1522.55812212644,1480.35446036585,1510.50140941645,1533.14811697391,1487.06473077475,1553.39970699557,1481.83863826399,1480.99106740456,1509.52563899788,1445.06954590187,1486.37205369492,1403.11377621951,1342.13321097561,1359.36938414634,1430.65633719512,1437.80965609756,1366.65358292683,1394.32247439024,1439.46304570548,1511.56944836942,1488.741331032,1488.46119244034,1484.00163876492,1496.56300707071,1522.05813711315,1542.17563820225,1664.83442746186
"Hawks - Nuggets",1496.87517653825,1513.63543623434,1531.32556820297,1515.84526804037,1453.50843719512,1490.99154108543,1510.03947071895,1487.64901781609,1512.36336068016,1541.66235338629,1554.2727056755,1580.83629169526,1560.89544104801,1504.12331642037,1429.08472916316,1409.70400487805,1428.73727162841,1557.27882434226,1528.71876235294,1499.18630398993,1486.59554997349,1408.17515077992,1439.78241369492,1427.7744847561,1412.1118847561,1400.65110914634,1380.71659512195,1440.62789247267,1415.11727035324,1421.23432128539,1451.90918385899,1506.2218470081,1563.73419547948,1606.18570180841,1562.06011355466,1559.95915624049,1573.57156590909,1498.47173617429,1527.43775888502
"Hawks - Kings",1441.56144634146,1470.59463848722,1534.73078235443,1575.76231237323,1487.45027685441,1449.6494367741,1492.6645398924,1482.96989270453,1447.42132317073,1485.28276683258,1523.74508626374,1495.31715587701,1474.69820850855,1437.09506158537,1423.93806635828,1419.91719390244,1434.01622406743,1482.80523207448,1497.09102606887,1491.36956763145,1512.00568107105,1504.0453135848,1502.12881805855,1493.03441965237,1488.4072998645,1525.8552728223,1545.21333710431,1525.38140604567,1445.95090196243,1413.71263991131,1441.17771890244,1444.7265471499,1437.99496395883,1467.60879122082,1442.07705949663,1469.88254646465,1459.1727220898,1448.28226910112,1515.95798571429
"Hawks - Pistons",1441.19752785509,1472.22492751161,1485.89333866926,1473.59813389403,1384.5673597561,1472.63606665215,1499.41419842898,1512.79664712644,1522.15360781962,1530.44930398032,1610.40322750085,1626.78339472138,1630.56398500522,1598.00703681253,1565.69251409527,1514.15374180684,1480.05529723816,1491.63946987936,1431.09583094692,1500.7536005179,1606.56641895302,1557.85246541407,1574.97423624037,1497.29503606887,1402.23333536585,1453.56504658006,1504.60417145849,1506.92552473868,1459.00288741737,1499.98116186585,1501.60100914634,1543.92263677789,1528.64185476994,1492.04199365985,1464.00987596004,1459.64256010101,1468.60195806541,1441.538906906,1506.66228876307
"Hawks - Suns",1440.66881585366,1517.3253797619,1553.27412425513,1589.73063858238,1554.77905815292,1519.26024731808,1544.79500470588,1503.33298455242,1483.839123967,1479.92506092871,1529.92035028813,1510.60502904774,1578.04204748105,1570.74657493778,1579.35158718925,1542.90524355014,1564.82426023862,1616.52489034596,1572.71473998721,1529.88828100354,1543.84513504498,1580.65556744186,1566.11294320435,1521.68505162155,1468.69415574305,1454.88906646341,1472.89738743071,1425.85248719512,1469.99108311541,1474.87309516978,1522.64413011408,1536.64673059538,1541.83958895883,1587.87833817204,1542.12519486248,1521.61100328283,1480.50658123614,1496.06044410112,1573.88583754355
"Hawks - Jazz",1415.50257256098,1464.80587202381,1471.19464049853,1474.90780218671,1426.63263231707,1417.63718433508,1446.84498745337,1487.64907538005,1482.93843975345,1512.22960165474,1571.69581614879,1574.39018900709,1580.83944457742,1543.24620374965,1552.58108908678,1545.30046876556,1515.12914503043,1591.07245551898,1587.53625929006,1584.14008078261,1648.47661766837,1636.59116611947,1631.38288284246,1528.09528390774,1482.67909861929,1471.14540446682,1490.59928662742,1449.53164085366,1371.33127621951,1372.12714329268,1480.16180460089,1530.75046963304,1556.31223162773,1592.10540012856,1534.48720949663,1517.82620626984,1522.12089465078,1452.52074044259,1526.28055278746
