"rank","matchup"
"196","Nuggets - Pistons"
"197","Pacers - Knicks"
"198","Celtics - Warriors"
"199","Knicks - Sixers"
"200","Heat - Raptors"
"201","Jazz - Timberwolves"
"202","Celtics - Kings"
"203","Hawks - Mavericks"
"204","Hawks - Bucks"
"205","Mavericks - Raptors"
"206","Suns - Raptors"
"207","Nets - Trailblazers"
"208","Bucks - Mavericks"
"209","Rockets - Raptors"
"210","Cavaliers - Pistons"
"211","Thunder - Raptors"
"212","Mavericks - Magic"
"213","Celtics - Magic"
"214","Celtics - Wizards"
"215","Hawks - Knicks"
"216","Rockets - Warriors"
"217","Jazz - Grizzlies"
"218","Knicks - Mavericks"
"219","Nets - Thunder"
"220","Pacers - Nuggets"
"221","Bucks - Knicks"
"222","Sixers - Mavericks"
"223","Nuggets - Sixers"
"224","Knicks - Magic"
"225","Warriors - Jazz"
"226","Rockets - Kings"
"227","Pelicans - Heat"
"228","Thunder - Timberwolves"
"229","Kings - Jazz"
"230","Heat - Grizzlies"
"231","Pacers - Cavaliers"
"232","Cavaliers - Magic"
"233","Cavaliers - Sixers"
"234","Rockets - Wizards"
"235","Mavericks - Grizzlies"
"236","Suns - Grizzlies"
"237","Hawks - Nuggets"
"238","Rockets - Grizzlies"
"239","Celtics - Nets"
"240","Thunder - Grizzlies"
"241","Jazz - Wizards"
"242","Bucks - Nuggets"
"243","Rockets - Timberwolves"
"244","Celtics - Pelicans"
"245","Nuggets - Heat"
"246","Mavericks - Pelicans"
"247","Knicks - Pelicans"
"248","Trailblazers - Timberwolves"
"249","Pacers - Raptors"
"250","Cavaliers - Pelicans"
"251","Hawks - Cavaliers"
"252","Bulls - Warriors"
"253","Knicks - Nuggets"
"254","Bucks - Cavaliers"
"255","Hawks - Magic"
"256","Cavaliers - Mavericks"
"257","Bulls - Kings"
"258","Rockets - Nets"
"259","Nuggets - Mavericks"
"260","Clippers - Suns"
"261","Trailblazers - Raptors"
"262","Nets - Jazz"
"263","Knicks - Cavaliers"
"264","Pelicans - Magic"
"265","Bulls - Wizards"
"266","Bulls - Timberwolves"
"267","Warriors - Pistons"
"268","Bucks - Heat"
"269","Warriors - Heat"
"270","Kings - Pistons"
"271","Pacers - Grizzlies"
"272","Hawks - Pelicans"
"273","Clippers - Trailblazers"
"274","Cavaliers - Nuggets"
"275","Pistons - Wizards"
"276","Sixers - Heat"
"277","Clippers - Thunder"
"278","Trailblazers - Grizzlies"
"279","Pacers - Warriors"
"280","Bulls - Nets"
"281","Pacers - Timberwolves"
"282","Warriors - Sixers"
"283","Rockets - Hornets"
"284","Heat - Hornets"
"285","Kings - Heat"
"286","Pacers - Kings"
"287","Kings - Sixers"
"288","Suns - Hornets"
"289","Pistons - Raptors"
"290","Pacers - Wizards"
"291","Celtics - Clippers"
"292","Nuggets - Magic"
"293","Hawks - Warriors"
"294","Nets - Pistons"
"295","Sixers - Wizards"
"296","Bucks - Warriors"
"297","Hawks - Kings"
"298","Lakers - Hornets"
"299","Bucks - Kings"
"300","Nets - Heat"
"301","Bulls - Raptors"
"302","Knicks - Warriors"
"303","Hawks - Wizards"
"304","Rockets - Clippers"
"305","Warriors - Mavericks"
"306","Warriors - Magic"
"307","Bucks - Wizards"
"308","Pistons - Grizzlies"
"309","Knicks - Kings"
"310","Pacers - Nets"
"311","Heat - Timberwolves"
"312","Nuggets - Hornets"
"313","Nets - Sixers"
"314","Clippers - Jazz"
"315","Nuggets - Pelicans"
"316","Bucks - Magic"
"317","Kings - Mavericks"
"318","Knicks - Wizards"
"319","Pelicans - Raptors"
"320","Nets - Mavericks"
"321","Warriors - Nuggets"
"322","Magic - Raptors"
"323","Kings - Magic"
"324","Pistons - Timberwolves"
"325","Bulls - Grizzlies"
"326","Hawks - Nets"
"327","Nuggets - Kings"
"328","Sixers - Magic"
"329","Bucks - Nets"
"330","Clippers - Heat"
"331","Cavaliers - Warriors"
"332","Wizards - Mavericks"
"333","Clippers - Bulls"
"334","Celtics - Raptors"
"335","Nuggets - Wizards"
"336","Bucks - Pelicans"
"337","Cavaliers - Kings"
"338","Warriors - Pelicans"
"339","Knicks - Nets"
"340","Wizards - Heat"
"341","Nets - Magic"
"342","Pelicans - Grizzlies"
"343","Magic - Grizzlies"
"344","Cavaliers - Wizards"
"345","Sixers - Pelicans"
"346","Mavericks - Timberwolves"
"347","Clippers - Pistons"
"348","Celtics - Timberwolves"
"349","Celtics - Hornets"
"350","Nets - Nuggets"
"351","Thunder - Hornets"
"352","Bulls - Hornets"
"353","Kings - Pelicans"
"354","Celtics - Grizzlies"
"355","Knicks - Timberwolves"
"356","Clippers - Magic"
"357","Cavaliers - Nets"
"358","Cavaliers - Timberwolves"
"359","Pacers - Clippers"
"360","Cavaliers - Raptors"
"361","Clippers - Sixers"
"362","Nuggets - Raptors"
"363","Nets - Pelicans"
"364","Kings - Raptors"
"365","Hawks - Raptors"
"366","Knicks - Raptors"
"367","Hawks - Clippers"
"368","Timberwolves - Magic"
"369","Hawks - Timberwolves"
"370","Warriors - Kings"
"371","Clippers - Bucks"
"372","Wizards - Magic"
"373","Cavaliers - Grizzlies"
"374","Pelicans - Timberwolves"
"375","Clippers - Mavericks"
"376","Warriors - Wizards"
"377","Clippers - Knicks"
"378","Nuggets - Grizzlies"
"379","Kings - Grizzlies"
"380","Kings - Wizards"
"381","Hawks - Grizzlies"
"382","Clippers - Pelicans"
"383","Jazz - Hornets"
"384","Knicks - Grizzlies"
"385","Clippers - Nuggets"
"386","Grizzlies - Hornets"
"387","Nets - Warriors"
"388","Wizards - Pelicans"
"389","Bucks - Raptors"
"390","Timberwolves - Raptors"
"391","Nets - Kings"
"392","Clippers - Cavaliers"
"393","Cavaliers - Hornets"
"394","Pacers - Hornets"
"395","Nets - Wizards"
"396","Nuggets - Timberwolves"
"397","Warriors - Hornets"
"398","Sixers - Raptors"
"399","Nets - Raptors"
"400","Trailblazers - Hornets"
"401","Bucks - Grizzlies"
"402","Warriors - Raptors"
"403","Timberwolves - Grizzlies"
"404","Pistons - Hornets"
"405","Clippers - Hornets"
"406","Warriors - Timberwolves"
"407","Magic - Hornets"
"408","Sixers - Grizzlies"
"409","Bucks - Timberwolves"
"410","Clippers - Raptors"
"411","Nets - Grizzlies"
"412","Kings - Timberwolves"
"413","Wizards - Raptors"
"414","Warriors - Grizzlies"
"415","Sixers - Timberwolves"
"416","Clippers - Warriors"
"417","Clippers - Kings"
"418","Clippers - Grizzlies"
"419","Nets - Timberwolves"
"420","Wizards - Grizzlies"
"421","Grizzlies - Raptors"
"422","Clippers - Wizards"
"423","Pelicans - Hornets"
"424","Hawks - Hornets"
"425","Clippers - Timberwolves"
"426","Clippers - Nets"
"427","Raptors - Hornets"
"428","Wizards - Timberwolves"
"429","Sixers - Hornets"
"430","Bucks - Hornets"
"431","Nets - Hornets"
"432","Wizards - Hornets"
"433","Knicks - Hornets"
"434","Kings - Hornets"
"435","Timberwolves - Hornets"
